,name,link,price,description,date_collected,image_link,in_stock,details
23,Tai Rosso 2018 Rezzadore,https://www.kingscountywines.com/tai-rosso-2018-rezzadore.html,16.99,"Italian grenache. Light, chillable, fresh, strawberry jammy. Beach bonfire.",2020-02-10 22:52:09.305165,https://cdn.shoplightspeed.com/shops/603808/files/15099766/tai-rosso-2018-rezzadore.jpg,In stock,null
24,Chardonnay 2017 Inconnu,https://www.kingscountywines.com/chardonnay-2017-inconnu.html,24.99,Savory and saline. Fantastic texture and acid. Natural.,2020-02-10 22:52:09.837223,https://cdn.shoplightspeed.com/shops/603808/files/14367715/chardonnay-2017-inconnu.jpg,In stock,null
25,Blanc 3L Pouch 2018 Vrac,https://www.kingscountywines.com/blanc-3l-pouch-2018-vrac.html,29.99,"Quick-chill, dry vermentino. Stick it in your Igloo.",2020-02-10 22:52:10.024248,https://cdn.shoplightspeed.com/shops/603808/files/14783935/blanc-3l-pouch-2018-vrac.jpg,In stock,null
26,Master of None 2017 BLANKbottle,https://www.kingscountywines.com/master-of-none-2017.html,41.99,"Chillable grenache blend, w/ old oak. Raspberry, tobacco. Earthy, heaveny.",2020-02-10 22:52:10.236978,https://cdn.shoplightspeed.com/shops/603808/files/14966010/master-of-none-2017-blankbottle.jpg,In stock,null
27,Tempranillo Rosé 2018 Illahe Vineyards,https://www.kingscountywines.com/tempranillo-rose-2018-illahe-vineyards.html,21.99,"Kumquat, dragonfruit, gooseberry. Clean mineral finish. Awesome.",2020-02-10 22:52:10.436833,https://cdn.shoplightspeed.com/shops/603808/files/14233670/tempranillo-rose-2018-illahe-vineyards.jpg,In stock,null
28,Dry Riesling 2017 Empire Estate*,https://www.kingscountywines.com/dry-riesling-2017-empire-estate.html,21.99,"All the petrol, lazerbeams, and sunshine. None of the umlauts.",2020-02-10 22:52:10.642903,https://cdn.shoplightspeed.com/shops/603808/files/14237855/dry-riesling-2017-empire-estate.jpg,In stock,null
29,Assyrtiko Santorini 2018 Santo,https://www.kingscountywines.com/assyrtiko-santorini-2018-santo.html,23.99,"Minerally AF, with earthiness and a tight acidity. Chablis blushes.",2020-02-10 22:52:10.841573,https://cdn.shoplightspeed.com/shops/603808/files/14187416/assyrtiko-santorini-2018-santo.jpg,In stock,null
30,"Rosé ""Simply Cinsault"" 2019 Noble Hill",https://www.kingscountywines.com/rose-simply-cinsault-2019-noble-hill.html,10.99,"Fresh & simple South African rosé. Sustainable, totally dry.",2020-02-10 22:52:11.071437,https://cdn.shoplightspeed.com/shops/603808/files/14609005/rose-simply-cinsault-2019-noble-hill.jpg,In stock,null
31,Dolcetto d'Alba Alessandro II 2017 Serragrilli*,https://www.kingscountywines.com/dolcetto-dalba-alessandro-ii-2017-serragrilli.html,17.99,"Super-fragrant, palatial dolcetto. Well-structured.",2020-02-10 22:52:11.260740,https://cdn.shoplightspeed.com/shops/603808/files/14574566/dolcetto-dalba-alessandro-ii-2017-serragrilli.jpg,In stock,null
32,Vouvray Demi-Sec 2016 Laurent Kraft,https://www.kingscountywines.com/vouvray-demi-sec-2016-laurent-kraft.html,15.99,"Complex, cheesy, bright. A touch of sweet, intense, perfect.",2020-02-10 22:52:11.452475,https://cdn.shoplightspeed.com/shops/603808/files/14234268/vouvray-demi-sec-2016-laurent-kraft.jpg,In stock,null
33,Silvaner 2018 Zehnthof Luckert,https://www.kingscountywines.com/copy-of-sylvaner-2017-zehnthof-luckert.html,19.99,null,2020-02-10 22:52:11.642172,https://cdn.shoplightspeed.com/shops/603808/files/14207656/silvaner-2018-zehnthof-luckert.jpg,In stock,null
